city_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Cabo San Lucas,MX,22.8909,-109.9124,65.52,76,0,3.44,clear sky
79,Mendoza,AR,-32.8908,-68.8272,66.27,47,0,3.33,clear sky
80,Berbera,SO,10.4396,45.0143,81.07,67,47,5.26,scattered clouds
81,Mahébourg,MU,-20.4081,57.7,85.24,74,40,11.5,scattered clouds
82,Kavaratti,IN,10.5669,72.642,78.3,68,20,9.91,few clouds
83,Avarua,CK,-21.2078,-159.775,78.85,83,40,11.5,scattered clouds
84,Kumul,CN,42.8,93.45,32.72,26,14,4.34,few clouds
85,Peniche,PT,39.3558,-9.3811,51.46,50,65,6.73,broken clouds
86,Yala,TH,6.3333,101.25,88.3,55,100,8.72,heavy intensity rain
87,Arrondissement de Bressuire,FR,46.9167,-0.5,47.39,95,44,6.91,scattered clouds
88,Alofi,NU,-19.0595,-169.9187,75.09,88,100,3.44,drizzle
89,Necochea,AR,-38.5473,-58.7368,57.04,68,42,10.27,scattered clouds
90,Itaituba,BR,-4.2761,-55.9836,71.58,100,100,1.48,overcast clouds
91,Talnakh,RU,69.4865,88.3972,-24.56,95,54,2.08,broken clouds
92,Saint-Pierre,RE,-21.3393,55.4781,85.64,74,0,6.91,clear sky
93,Vila Franca do Campo,PT,37.7167,-25.4333,58.19,77,28,10.63,scattered clouds
94,San Patricio,US,28.017,-97.5169,55.49,87,100,7.87,overcast clouds
95,Vila,PT,42.0304,-8.1588,37.33,70,8,5.7,clear sky
96,Griffith,US,41.5284,-87.4237,30.97,84,100,3.0,overcast clouds
97,Gayéri,BF,12.6497,0.4931,66.0,15,0,8.86,clear sky
98,Constitución,CL,-35.3333,-72.4167,56.26,84,1,1.57,clear sky
99,Saint-Augustin,CA,51.226,-58.6502,-17.77,89,98,2.55,overcast clouds
100,George Town,MY,5.4112,100.3354,91.33,70,20,4.0,few clouds
101,Punta Arenas,CL,-53.15,-70.9167,53.71,82,75,6.91,broken clouds
102,Nelson Bay,AU,-32.7167,152.15,75.25,59,58,3.0,broken clouds
103,Lima,PE,-12.0432,-77.0282,66.45,87,0,3.44,clear sky
104,Moose Factory,CA,51.2585,-80.6094,-24.36,100,33,3.36,scattered clouds
105,Graaff-Reinet,ZA,-32.2522,24.5308,78.93,58,0,5.41,clear sky
106,Road Town,VG,18.4167,-64.6167,75.99,74,100,23.42,overcast clouds
107,Esperance,AU,-33.8667,121.9,76.84,58,0,25.66,clear sky
108,Norman Wells,CA,65.282,-126.8329,-12.37,97,100,10.8,light snow
109,Baghdad,IQ,33.3406,44.4009,53.51,54,0,4.61,clear sky
110,Port Lincoln,AU,-34.7333,135.8667,79.83,45,95,17.54,overcast clouds
111,Port Alfred,ZA,-33.5906,26.891,79.88,58,0,5.93,clear sky
112,Abu Dhabi,AE,24.4667,54.3667,69.91,52,20,5.99,few clouds
113,Tasiilaq,GL,65.6145,-37.6368,19.56,51,100,64.74,light snow
114,Kawalu,ID,-7.3817,108.2082,83.61,67,99,2.26,overcast clouds
115,Ilulissat,GL,69.2167,-51.1,6.82,72,75,12.66,broken clouds
116,East London,ZA,-33.0153,27.9116,80.73,58,0,2.44,clear sky
117,Jiuquan,CN,39.7432,98.5174,22.51,52,26,2.73,scattered clouds
